Image,Party Affiliation,Candidate Name,Office
T,Republican,Tom McClintock*,US House CA Dist 5
M,Democrat,Mike Barkley,US House CA Dist 5
J,Republican,John Duarte*,US House CA Dist 13
A,Democrat,Adam Gray,US House CA Dist 13
V,Republican,Vince Fong*,US House CA Dist 20
Mi,Republican,Mike Boudreaux,US House CA Dist 20
Ji,Democrat,Jim Costa*,US House CA Dist 21
Mic,Republican,Michael Maher,US House CA Dist 21
D,Republican,David Valadao*,US House CA Dist 22
R,Democrat,Rudy Salas,US House CA Dist 22
