Party Affiliation,Candidate Name,Office
D,Javier Loera Cervantes,Illinois Senate 1st District
R,Robert Sumrell Jr.,Illinois Senate 4th District
D,Kimberly Lightford,Illinois Senate 4th District
D,Lakesia Collins,Illinois Senate 5th District
D,Mike Simmons,Illinois Senate 7th District
R,Jon Luers,Illinois Senate 10th District
D,Robert Martwick,Illinois Senate 10th District
D,Robert Peters,Illinois Senate 13th District
D,Willie Preston,Illinois Senate 16th District
R,Samantha Gasca,Illinois Senate 19th District
D,Michael Hastings,Illinois Senate 19th District
R,Jason Proctor,Illinois Senate 20th District
D,Graciela Guzman,Illinois Senate 20th District
D,Cristina Castro,Illinois Senate 22nd District
R,Heather Brown,Illinois Senate 25th District
D,Karina Villa,Illinois Senate 25th District
D,Mark Walker,Illinois Senate 27th District
D,Laura Murphy,Illinois Senate 28th District
D,Mary Edly-Allen,Illinois Senate 31st District
R,Crystal Villarreal Soltow,Illinois Senate 34th District
D,Steve Stadelman,Illinois Senate 34th District
R,Li Arellano Jr.,Illinois Senate 37th District
R,Philip Nagel,Illinois Senate 40th District
D,Patrick Joyce,Illinois Senate 40th District
R,Jen Monson,Illinois Senate 43rd District
D,Rachel Ventura,Illinois Senate 43rd District
R,Sally Owens,Illinois Senate 46th District
D,Dave Koehler,Illinois Senate 46th District
R,Katie Deane-Schlottman,Illinois Senate 49th District
D,Meg Loughran Cappel,Illinois Senate 49th District
R,Jeff Brownfield,Illinois Senate 52nd District
D,Paul Faraci,Illinois Senate 52nd District
R,Chris Balkema,Illinois Senate 53rd District
R,Jason Plummer,Illinois Senate 55th District
R,Terri Bryant,Illinois Senate 58th District
