Party Affiliation,Candidate Name,Office
R,Marcus Lewis,U.S. House IL Dist 1
D,Jonathan Jackson,U.S. House IL Dist 1
R,Ashley Ramos,U.S. House IL Dist 2
D,Robin Kelly,U.S. House IL Dist 2
R,John Booras,U.S. House IL Dist 3
D,Delia Ramirez,U.S. House IL Dist 3
D,"Jesús ""Chuy"" García",U.S. House IL Dist 4
R,Tommy Hanson,U.S. House IL Dist 5
D,Mike Quigley,U.S. House IL Dist 5
R,Niki Conforti,U.S. House IL Dist 6
D,Sean Casten,U.S. House IL Dist 6
R,Chad Koppie,U.S. House IL Dist 7
D,Danny Davis,U.S. House IL Dist 7
R,Mark Rice,U.S. House IL Dist 8
D,Raja Krishnamoorthi,U.S. House IL Dist 8
D,Jan Schakowsky,U.S. House IL Dist 9
R,Jim Carris,U.S. House IL Dist 10
D,Brad Schneider,U.S. House IL Dist 10
R,Jerry Evans,U.S. House IL Dist 11
D,Bill Foster,U.S. House IL Dist 11
R,Mike Bost,U.S. House IL Dist 12
D,Brian Roberts,U.S. House IL Dist 12
R,Joshua Loyd,U.S. House IL Dist 13
D,Nikki Budzinski,U.S. House IL Dist 13
R,Jim Marter,U.S. House IL Dist 14
D,Lauren Underwood,U.S. House IL Dist 14
R,Mary Miller,U.S. House IL Dist 15
R,Darin LaHood,U.S. House IL Dist 16
R,Joe McGraw,U.S. House IL Dist 17
D,Eric Sorensen,U.S. House IL Dist 17
