Party Affiliation,Candidate Name,Office,,
R,Donald Trump,President of the United States,,
D,Joe Biden,President of the United States,,
R,Marcus Lewis,US House IL Dist 1,,
D,Jonathan Jackson,US House IL Dist 1,,
R,Ashley Ramos,US House IL Dist 2,,
D,Robin Kelly,US House IL Dist 2,,
R,John Booras,US House IL Dist 3,,
D,Delia Ramirez,US House IL Dist 3,,
D,"Jesús ""Chuy"" García",US House IL Dist 4,,
R,Tommy Hanson,US House IL Dist 5,,
D,Mike Quigley,US House IL Dist 5,,
R,Niki Conforti,US House IL Dist 6,,
D,Sean Casten,US House IL Dist 6,,
R,Chad Koppie,US House IL Dist 7,,
D,Danny Davis,US House IL Dist 7,,
R,Mark Rice,US House IL Dist 8,,
D,Raja Krishnamoorthi,US House IL Dist 8,,
D,Jan Schakowsky,US House IL Dist 9,,
R,Jim Carris,US House IL Dist 10,,
D,Brad Schneider,US House IL Dist 10,,
R,Jerry Evans,US House IL Dist 11,,
D,Bill Foster,US House IL Dist 11,,
R,Mike Bost,US House IL Dist 12,,
D,Brian Roberts,US House IL Dist 12,,
R,Joshua Loyd,US House IL Dist 13,,
D,Nikki Budzinski,US House IL Dist 13,,
R,Jim Marter,US House IL Dist 14,,
D,Lauren Underwood,US House IL Dist 14,,
R,Mary Miller,US House IL Dist 15,,
R,Darin LaHood,US House IL Dist 16,,
R,Joe McGraw,US House IL Dist 17,,
D,Eric Sorensen,US House IL Dist 17,,
R,Robert Fioretti,Cook County State's Attorney,,
D,Eileen O'Neill Burke,Cook County State's Attorney,,
L,Andrew Charles Kopinski,Cook County State's Attorney,,
R,Lupe Aguirre,Cook County Clerk of Circuit Court,,
D,Mariyana Spyropoulos ,Cook County Clerk of Circuit Court,,
L,Michael Murphy,Cook County Clerk of Circuit Court,,
R,Claire Connelly,Metropolitan Water Reclamation District Commissioner - 6 Year Term (vote for 3),,
R,Richard Dale,Metropolitan Water Reclamation District Commissioner - 6 Year Term (vote for 3),,
R,Brendan Ehlers,Metropolitan Water Reclamation District Commissioner - 6 Year Term (vote for 3),,
